x-axis,1,2
second,Volt,Volt
+332.0000E-06,+443.2003721E-03,-5.1664572E-03
+332.5000E-06,+442.5722314E-03,-5.2292713E-03
+333.0000E-06,+441.9754978E-03,-5.2292713E-03
+333.5000E-06,+441.4729852E-03,-5.1350502E-03
+334.0000E-06,+440.9390656E-03,-5.1978643E-03
+334.5000E-06,+440.7506234E-03,-5.2920854E-03
+335.0000E-06,+440.0596687E-03,-5.1978643E-03
+335.5000E-06,+438.9290154E-03,-5.3234924E-03
+336.0000E-06,+438.0496184E-03,-5.2606783E-03
+336.5000E-06,+437.2958496E-03,-5.3863065E-03
+337.0000E-06,+436.4792667E-03,-5.1036432E-03
+337.5000E-06,+435.8197190E-03,-5.2606783E-03
+338.0000E-06,+435.0345431E-03,-5.0408291E-03
+338.5000E-06,+434.5320305E-03,-5.0722361E-03
+339.0000E-06,+433.9038898E-03,-5.1664572E-03
+339.5000E-06,+433.3699702E-03,-5.3548994E-03
+340.0000E-06,+432.6476084E-03,-5.1664572E-03
+340.5000E-06,+432.1450959E-03,-5.2606783E-03
+341.0000E-06,+431.3599200E-03,-5.1978643E-03
+341.5000E-06,+430.6375582E-03,-5.1350502E-03
+342.0000E-06,+429.4126838E-03,-5.2920854E-03
+342.5000E-06,+428.4076587E-03,-5.2606783E-03
+343.0000E-06,+427.7795180E-03,-5.2606783E-03
+343.5000E-06,+426.9629351E-03,-5.1978643E-03
+344.0000E-06,+426.3976085E-03,-5.2292713E-03
+344.5000E-06,+425.7694678E-03,-5.3234924E-03
+345.0000E-06,+425.1727341E-03,-5.2292713E-03
+345.5000E-06,+424.2933372E-03,-5.2920854E-03
+346.0000E-06,+423.4767543E-03,-5.2606783E-03
+346.5000E-06,+422.6287643E-03,-5.1036432E-03
+347.0000E-06,+421.4038900E-03,-5.1350502E-03
+347.5000E-06,+420.7129352E-03,-5.2606783E-03
+348.0000E-06,+419.6136890E-03,-5.1978643E-03
+348.5000E-06,+418.9541412E-03,-5.1350502E-03
+349.0000E-06,+418.4830357E-03,-5.2606783E-03
+349.5000E-06,+417.6664528E-03,-5.2920854E-03
+350.0000E-06,+417.1011262E-03,-5.3548994E-03
+350.5000E-06,+416.5672066E-03,-5.1036432E-03
+351.0000E-06,+415.9076589E-03,-5.2920854E-03
+351.5000E-06,+414.8398197E-03,-5.2606783E-03
+352.0000E-06,+413.9918297E-03,-5.1350502E-03
+352.5000E-06,+412.9553976E-03,-5.3234924E-03
+353.0000E-06,+411.7933373E-03,-5.0094221E-03
+353.5000E-06,+411.1337896E-03,-5.2920854E-03
