[Hz],	[V],	[V]
Freq,	V_A,	V_out
cyka,a,a
5E4,	0.130,	2.45
1E5,	0.680,	6.54
2E5,	0.230,	1.13
4E5,	0.1,	0.280
7E5,	0.05,	0.08
1E6,	0.05,	0.05
1500000,0.240,	0.140
