%R1=R2=R3=100k, R4=99.5,
[Hz],	[V],	[V]
Freq,	V_A,	V_out
200E0,	1.93E0,	10.6E0
500E0,	3.23E0,	7.27E0
1000E0,	3.74E0,	4.26E0
2000E0,	3.91E0,	2.3E0
3000E0,	3.96E0,	1.57E0
5000E0,	3.96E0,	0.93E0
