[Hz],	[V],	[V]
Freq,	V_A,	V_out
1E6,	0.05,	0.05
700E3,	0.05,	0.08
400E3,	0.1,	0.280
200E3,	230E-3,	1.13
100E3,	680E-3,	3.54
%50E3,	130E-3,	2.45
